	1470	1	0.07	;
	1820	-1	0.05	;
	1368	1	0.51	;
	1353	1	0.63	;
	1694	1	0.72	;
	1202	-1	0.74	;
	1895	1	0.25	;
	1863	1	0.42	;
	1672	1	0.57	;
	1386	-1	0.6	;
	1587	-1	0.66	;
	1687	1	0.54	;
	1971	-1	0.29	;
	1803	-1	0.49	;
	1344	-1	0.32	;
	1656	-1	0.37	;
	1647	-1	0.41	;
	1780	-1	0.75	;
	1955	-1	0.7	;
	1335	-1	0.46	;
	1209	1	0.01	;
	1402	-1	0.23	;
	1572	-1	0.06	;
	1915	-1	0.11	;
	1560	1	0.19	;
	1630	1	0.61	;
	1494	1	0.17	;
	1257	1	0.36	;
	1253	-1	0.45	;
	1254	-1	0.47	;
	1394	-1	0.08	;
	1466	1	0.45	;
	1760	-1	0.44	;
	1219	1	0.08	;
	1837	1	0.56	;
	1583	-1	0.01	;
	1691	-1	0.56	;
	1422	1	0.67	;
	1447	1	0.14	;
	1877	1	0.74	;
	1855	1	0.3	;
	1959	-1	0.69	;
	1318	-1	0.39	;
	1423	1	0.62	;
	1681	1	0.5	;
	1373	-1	0.35	;
	1325	-1	0.72	;
	1591	1	0.18	;
	1621	-1	0.62	;
	1670	-1	0.53	;
	1710	1	0.02	;
	1551	1	0.41	;
	1470	-1	0.63	;
	1427	1	0.53	;
	1827	1	0.05	;
	1760	1	0.12	;
	1213	-1	0.15	;
	1401	1	0.27	;
	1640	-1	0.09	;
	1719	-1	0.34	;
	1368	1	0.55	;
	1361	-1	0.16	;
	1397	1	0.06	;
	1370	-1	0.71	;
	1540	1	0.64	;
	1667	-1	0.57	;
	1914	-1	0.02	;
	1247	-1	0.13	;
	1897	-1	0.04	;
	1337	1	0.24	;
	1402	1	0.04	;
	1715	1	0.35	;
	1283	-1	0.36	;
	1214	-1	0.31	;
	1970	1	0.7	;
	1560	1	0.11	;
	1862	-1	0.22	;
	1273	1	0.59	;
	1460	-1	0.21	;
	1802	1	0.66	;
	1558	1	0.29	;
	1525	1	0.38	;
	1794	-1	0.59	;
	1797	-1	0.58	;
	1363	1	0.48	;
	1458	-1	0.3	;
	1316	1	0.47	;
	1695	-1	0.68	;
	1355	-1	0.61	;
	1666	1	0.22	;
	1494	-1	0.65	;
	1959	1	0.28	;
	1242	1	0.33	;
	1790	1	0.23	;
	1804	1	0.39	;
	1308	1	0.68	;
	1951	1	0.58	;
	1968	1	0.03	;
	1717	1	0.46	;
	1898	1	0.21	;
	1549	-1	0.33	;
	1570	-1	0.17	;
	1344	1	0.15	;
	1459	1	0.69	;
	1491	-1	0.2	;
	1442	1	0.71	;
	1438	1	0.75	;
	1316	1	0.44	;
	1859	-1	0.26	;
	1478	-1	0.19	;
	1933	1	0.26	;
	1759	1	0.6	;
	1715	-1	0.54	;
	1867	1	0.34	;
	1898	1	0.1	;
	1503	-1	0.48	;
	1648	-1	0.67	;
	1330	-1	0.52	;
	1219	-1	0.03	;
	1636	1	0.65	;
	1750	1	0.2	;
	1584	-1	0.28	;
	1893	1	0.37	;
	1571	-1	0.51	;
	1499	1	0.13	;
	1383	1	0.4	;
	1510	-1	0.55	;
	1792	1	0.16	;
	1282	1	0.52	;
	1947	-1	0.5	;
	1467	1	0.32	;
	1267	1	0.73	;
	1889	-1	0.18	;
	1760	-1	0.24	;
	1705	-1	0.64	;
	1442	-1	0.38	;
	1697	-1	0.4	;
	1485	1	0.43	;
	1231	-1	0.14	;
	1416	-1	0.73	;
	1719	1	0.49	;
	1869	1	0.09	;
	1323	-1	0.43	;
	1790	-1	0.27	;
	1521	1	0.31	;
	1559	-1	0.25	;
	1352	-1	0.12	;
	1411	-1	0.07	;
	1556	-1	0.1	;
	1508	-1	0.42	;	
